expression,meaning_en,meaning_es,example_es,distractor_1,distractor_2,distractor_3
a la primera de cambio,at the first opportunity; the moment a chance arises usually with a negative connotation implying someone acts quickly or selfishly,en cuanto surge la primera oportunidad sin esperar más normalmente usado cuando alguien aprovecha el momento para hacer algo inesperado o poco leal,A la primera de cambio te deja solo.,adaptarse con mucha facilidad a cualquier situación nueva sin que suponga ningún esfuerzo,reaccionar de forma exagerada ante la mínima contrariedad sin dar tiempo a que se resuelva,cambiar de opinión continuamente según lo que convenga en cada momento sin ningún criterio
meterse algo entre ceja y ceja,to get something fixed in one's head; to become obsessed with an idea or goal and refuse to let it go,obsesionarse con una idea u objetivo de tal manera que no se puede dejar de pensar en ello hasta conseguirlo,Se le metió entre ceja y ceja aprender a tocar la guitarra y no para hasta conseguirlo.,guardar rencor a alguien durante mucho tiempo sin ser capaz de perdonar lo que hizo,no poder sacarse de la cabeza un recuerdo doloroso que sigue causando malestar con el tiempo,tener muy claro desde el principio lo que uno quiere y no desviarse nunca del camino
a la tercera va la vencida,third time's the charm; after two failed attempts the third one will succeed,después de dos intentos fallidos se confía en que el tercero será el definitivo y traerá el éxito,Volví a intentarlo y a la tercera va la vencida.,cuanto más se repite algo más fácil se vuelve con el tiempo y la práctica constante,los errores son inevitables pero lo importante es no volver a cometer el mismo dos veces,si algo ha salido bien una vez hay muchas probabilidades de que vuelva a salir bien
dios los cría y ellos se juntan,birds of a feather flock together; similar people naturally find each other,las personas con caracteres o costumbres parecidas tienden a encontrarse y formar grupos de forma natural,Son inseparables desde el primer día dios los cría y ellos se juntan.,cuando alguien tiene buenas intenciones siempre acaba encontrando personas que le apoyan,las amistades verdaderas se forjan en los momentos difíciles y no en los buenos tiempos,la gente suele confiar más en los desconocidos que en quienes conoce desde hace mucho tiempo
son tal para cual,they are two of a kind; often used when two people are equally matched usually with a negative tone,dos personas tan parecidas en defectos o comportamientos que parecen hechas la una para la otra,Los dos mienten siempre son tal para cual.,dos personas que se complementan perfectamente porque cada una tiene lo que le falta a la otra,una pareja que lleva tanto tiempo junta que ha adoptado los mismos hábitos y costumbres,dos personas que compiten constantemente sin ser capaces de ponerse de acuerdo en nada
tener complicidad,to have a special bond or chemistry with someone; to be on the same wavelength,tener una conexión especial con alguien que permite entenderse sin necesidad de explicar demasiado,Se nota que tienen mucha complicidad solo con mirarse ya saben lo que piensa el otro.,mantener en secreto algo que se ha hecho juntos para que los demás no se enteren nunca,saber perfectamente cómo sacar de quicio a alguien porque se le conoce muy bien,ayudarse mutuamente en los momentos difíciles sin esperar nada a cambio del otro
parecer una mosquita muerta,to look like butter wouldn't melt; to appear innocent and harmless but have a hidden cunning or mischievous side,aparentar ser muy inocente y tranquilo cuando en realidad esconde una personalidad más astuta o pícara de lo que parece,Parece una mosquita muerta pero es la más lista de todos.,pasar completamente desapercibido en cualquier situación sin llamar la atención ni dejar huella,ser tan tímido y reservado que resulta difícil saber lo que realmente piensa o siente,molestar de forma constante aunque no de manera grave generando un cansancio acumulado
tener una conversación de besugos,a conversation where nobody understands each other and nothing gets resolved; talking past each other,diálogo en el que los participantes no se entienden entre sí y la conversación no lleva a ningún lado como si nadie escuchara al otro,Llevamos media hora hablando y no nos entendemos esto es una conversación de besugos.,hablar durante horas de temas sin importancia sin llegar a tratar lo realmente relevante,mantener una conversación tan aburrida y monótona que no despierta el interés de nadie,discutir acaloradamente por algo sin importancia de lo que ambos se arrepienten después
creerse algo a pies juntillas,to believe something blindly and without question; often implying naivety or excessive trust,aceptar algo como verdad absoluta sin cuestionarlo en ningún momento normalmente por ingenuidad o exceso de confianza,Se cree a pies juntillas todo lo que le dicen.,comprometerse a hacer algo de forma muy seria sin dejar ningún margen de vuelta atrás,repetir lo que otros dicen sin añadir ninguna opinión ni criterio propio,defender la postura de otra persona aunque no estés completamente de acuerdo con ella
saberse algo a pies juntillas,to know something inside out with complete mastery and certainty; no margin for doubt or error,conocer algo en profundidad y con total seguridad sin margen de duda ni posibilidad de error,Se sabe el reglamento a pies juntillas.,memorizar algo de forma mecánica sin llegar a comprenderlo realmente de manera profunda,seguir una norma al pie de la letra sin cuestionarla ni adaptarla al contexto concreto,afirmar algo con mucha seguridad sin tener en realidad ninguna prueba que lo respalde
caerse del burro,to finally admit you were wrong after stubbornly refusing to see it; to come to one's senses,reconocer por fin que uno estaba equivocado después de haberse resistido a admitirlo con terquedad,Por fin se cayó del burro y admitió que tenía razón yo.,darse cuenta de que uno ha sido engañado cuando ya es demasiado tarde para remediarlo,cansarse de luchar contra algo y rendirse sin haber conseguido ningún resultado positivo,perder los privilegios o la posición que se tenía por no haber sabido mantenerlos bien
poner a alguien a caer de un burro,to tear someone apart verbally; to criticize or reprimand someone very harshly,criticar o reprender a alguien de forma muy severa y contundente normalmente en voz alta y sin escatimar palabras,Cuando se enteró de lo que había hecho lo puso a caer de un burro delante de todos.,humillar a alguien en público hablando de sus defectos físicos de manera cruel e innecesaria,exigirle a alguien que admita su error delante de todos para que quede en evidencia,hablar muy mal de alguien a sus espaldas contando sus fallos a todo el que quiera escuchar
montar un pollo,to cause a scene; to kick up a fuss or create unnecessary drama,armar un escándalo o drama exagerado normalmente en público y por algo que no justifica tanto alboroto,Se equivocaron con su pedido y montó un pollo en el restaurante.,organizar una celebración o fiesta de forma improvisada y sin demasiada planificación previa,quejarse en voz baja pero de forma constante hasta que alguien le hace caso al final,pelearse de forma acalorada por algo sin importancia de lo que ambos se arrepienten después
quien juega con fuego se quema,if you play with fire you get burned; taking risks or doing dangerous things will lead to consequences,si te metes en situaciones peligrosas o arriesgadas tarde o temprano sufrirás las consecuencias de tus actos,Sabía que era mala idea meterse con él… quien juega con fuego se quema.,cuando uno se emociona demasiado con algo suele cometer errores que luego lamenta profundamente,las personas que provocan conflictos acaban quedándose solas con el tiempo irremediablemente,cuanto más se practica algo más riesgo hay de errar por exceso de confianza en uno mismo
bajar los humos a alguien,to take someone down a peg; to humble someone who is arrogant or full of themselves,hacer que alguien arrogante o engreído vuelva a la realidad y deje de creerse superior a los demás,Alguien tiene que bajarle los humos está insoportable últimamente.,calmar a alguien que está muy alterado para que recupere la compostura y la calma,convencer a alguien de que reduzca su nivel de exigencia para evitar conflictos innecesarios,quitarle a alguien el entusiasmo por algo haciéndole ver únicamente los aspectos negativos
dar mala espina,to give a bad feeling or bad vibe; a gut feeling that something or someone is off or not right,provocar una sensación de desconfianza o inquietud ante algo o alguien sin poder explicar exactamente por qué,Ese tipo me da mala espina no me fío de él.,causar un dolor físico repentino sin que haya una causa aparente que lo justifique,generar una mala impresión desde el primer momento por tener malos modales o poca educación,crear problemas o conflictos de forma indirecta sin que nadie sepa muy bien de dónde vienen
vete a tomar viento,get lost; a less vulgar way of telling someone to go to hell or get out of your face,forma de decirle a alguien que se marche o que deje de molestar de manera brusca pero menos soez que otras expresiones similares,¡Estoy harto de ti vete a tomar viento!,sugerirle a alguien que salga a despejarse porque lleva demasiado tiempo encerrado en casa,dar a entender que una idea no tiene ningún valor y que es mejor abandonarla cuanto antes,animarle a alguien a que aproveche una buena racha o momento favorable para avanzar
dejar a alguien plantado,to stand someone up; to not show up to a planned meeting or date leaving them waiting,no presentarse a una cita o quedada dejando a la otra persona esperando sin avisar ni dar explicaciones,Quedé con él a las ocho y me dejó plantada ni siquiera llamó.,ignorar por completo a alguien en una reunión hablando con todos menos con esa persona,terminar una relación de forma repentina sin dar ningún tipo de explicación ni motivo,excluir a alguien de una actividad grupal sin darle ninguna razón que lo justifique
ser uña y carne,to be inseparable; to be extremely close and always together,ser tan unidos que parece imposible separarlos como la uña y la carne que forman una sola cosa,Esos dos son uña y carne siempre juntos.,compartir tantos secretos que ninguno de los dos podría traicionar al otro aunque quisiera,parecerse tanto físicamente que la gente los confunde continuamente con hermanos o gemelos,tener una relación tan intensa que el resto del mundo parece no existir para ellos
estar a tope,to be very busy / full of energy / packed to capacity depending on context,estar al máximo ya sea de actividad ocupación energía o aforo según el contexto en el que se use,Esta semana estoy a tope de trabajo.,estar tan satisfecho con la propia vida que no se le pide nada más a la existencia,encontrarse en un estado de total calma y tranquilidad después de haber resuelto todos los asuntos pendientes,tener tantas ganas de hacer algo que resulta imposible esperar a que llegue el momento
ser más largo que un día sin pan,to be very tall (physical) or very cunning and sly (figurative) depending on context,usado para describir a alguien muy alto de forma humorística o a alguien muy astuto y difícil de engañar según el contexto,Es más largo que un día sin pan — no te fíes de él.,ser tan aburrido y pesado en las conversaciones que el tiempo parece pasar muy despacio,describir algo interminable que no parece tener fin por mucho que se avance en ello,tener mucho aguante y ser capaz de soportar situaciones difíciles durante mucho tiempo
ir con pies de plomo,to tread carefully; to proceed slowly and cautiously in a delicate situation,actuar o hablar con mucha cautela y prudencia midiendo cada paso para no cometer errores en una situación delicada,Con ese tema hay que ir con pies de plomo es muy sensible.,moverse con mucha dificultad por estar cargado con demasiadas responsabilidades a la vez,avanzar muy despacio en algo porque uno no tiene la energía ni las ganas suficientes,actuar sin ningún miedo y con total decisión incluso cuando la situación es muy arriesgada
ser una pelota / ser un lameculos,to be a brown-noser or sycophant; someone who flatters others purely for personal gain — pelota is mild lameculos is very vulgar,adular a otras personas de forma exagerada e interesada para conseguir favores o ventajas sin que los cumplidos sean sinceros,No te fíes de sus cumplidos es un pelota total.,ser alguien que cae bien a todo el mundo y se lleva bien con cualquiera sin esfuerzo,intentar agradar a los demás de forma constante por miedo a que no le quieran si no lo hace,presumir de los propios logros buscando el reconocimiento y la admiración de los que le rodean
ir pisando huevos,to move or do something very slowly; often used with exasperation when someone is being frustratingly slow,moverse o actuar con una lentitud exasperante como si se tuviera miedo de romper algo con cada paso,¡Venga que vamos pisando huevos y llegamos tarde!,actuar con mucho cuidado y delicadeza para no herir los sentimientos de los demás,meterse en una situación muy delicada de la que resulta difícil salir sin consecuencias,hacer algo tan difícil que requiere de toda la concentración y atención para salir bien
marear la perdiz,to go round in circles; to drag something out or waste time without getting to the point,dar vueltas a algo sin avanzar ni llegar a ningún lado perdiendo el tiempo en lugar de ir al grano,Deja de marear la perdiz y dime qué pasó.,confundir a alguien a propósito para que no se dé cuenta de lo que está pasando realmente,buscar excusas continuamente para no tener que enfrentarse a lo que de verdad importa,mezclar tantos temas distintos en una conversación que resulta imposible seguir el hilo
andarse por las ramas,to beat around the bush; to avoid getting to the main point by talking about irrelevant things,evitar hablar de lo importante rodeando el tema con detalles innecesarios en lugar de ir directamente al grano,Deja de andarte por las ramas y dime lo que piensas.,fijarse en los detalles pequeños y olvidarse del objetivo principal que se quería conseguir,complicar algo sencillo innecesariamente hasta que nadie entiende de qué se habla,ponerse nervioso al hablar en público y perder el hilo de lo que se quería decir
irse por los cerros de Úbeda,to go completely off topic; to ramble about things totally unrelated to the subject at hand,desviarse del tema principal de forma exagerada hablando de cosas que no tienen ninguna relación con lo que se estaba tratando,Empezamos hablando del trabajo y se fue por los cerros de Úbeda.,perderse en un lugar desconocido por no haberse preparado bien el camino de antemano,hablar de algo sin ningún conocimiento real sobre el tema cometiendo errores muy evidentes,tomar un camino más largo y complicado cuando existía una solución mucho más sencilla y directa
tener sentimientos encontrados,to have mixed feelings; to experience two conflicting emotions about something at the same time,sentir a la vez dos emociones opuestas o contradictorias sobre una misma situación persona o decisión,Cuando se fue tenía sentimientos encontrados estaba feliz por ella pero triste por mí.,no ser capaz de expresar lo que uno siente por miedo a la reacción de la otra persona,cambiar de estado de ánimo con mucha rapidez sin que haya una razón clara para ello,acumular emociones negativas durante tanto tiempo que ya no se sabe cómo gestionarlas
como Dios nos trajo al mundo,stark naked; completely undressed exactly as one was born,completamente desnudo sin nada de ropa encima tal y como se llega al mundo al nacer,Se tiró al mar como Dios le trajo al mundo.,con total naturalidad y sin ningún tipo de artificios ni pretensiones de ninguna clase,con mucha inocencia y sin maldad como si uno no supiera lo que realmente está haciendo,en el estado más puro y vulnerable sin ningún tipo de protección ni defensa posible
ir al grano,to get straight to the point; to talk directly about the main subject without wasting time,hablar directamente de lo importante sin rodeos ni preámbulos innecesarios,Venga ve al grano ¿qué me querías decir?,explicar algo paso a paso de forma muy detallada para que no quede ninguna duda al respecto,aprovechar al máximo los recursos disponibles sin desperdiciar nada en el proceso,acudir directamente a la persona responsable de algo sin pasar por ningún intermediario
perder los papeles,to lose one's cool; to completely lose control of one's emotions,perder el control de las propias emociones de forma repentina sin ser capaz de mantenerse calmado o sereno,Se puso tan nervioso que perdió los papeles delante de todos.,olvidar información importante justo en el momento menos oportuno quedando en evidencia,cometer tantos errores seguidos que uno pierde la confianza en su propia capacidad,equivocarse tanto en algo que ya no se sabe ni por dónde empezar de nuevo
quedarse de sujetavelas,to be the third wheel; to end up as the unwanted extra person while two others want to be alone,estar de más en una situación en la que dos personas preferirían estar solas normalmente una pareja,Fui a la cena pensando que éramos un grupo y me quedé de sujetavelas toda la noche.,quedarse a cargo de organizar un evento de última hora sin haberlo pedido ni planificado,aguantar una situación muy aburrida o tediosa sin poder marcharse aunque uno quiera,quedarse esperando a alguien durante mucho tiempo sin recibir ninguna explicación ni aviso
tener lagunas,to have gaps in one's knowledge or memory; blank spots where information is missing,tener zonas de desconocimiento o olvido sobre un tema concreto como si hubiera huecos vacíos en lo que uno sabe o recuerda,Estudié historia pero tengo lagunas sobre la guerra civil.,tener dificultad para concentrarse en algo durante un período prolongado de tiempo,sentirse desbordado por demasiada información sin saber cómo organizarla o asimilarla,confundir datos o recuerdos de distintas épocas mezclándolos sin darse cuenta
dar un patatús / dar un parraque,to faint or nearly faint from shock fright or overwhelming emotion; often used hyperbolically,sufrir un desmayo o una reacción física repentina causada por una sorpresa un susto o una emoción muy intensa,Cuando le dije el precio le dio un patatús.,ponerse muy nervioso antes de hacer algo importante sin llegar a perder el control del todo,reaccionar de forma exagerada ante una situación menor haciendo un drama innecesario,quedarse completamente paralizado sin saber cómo reaccionar ante una noticia inesperada
ser pan comido,to be a piece of cake; something very easy to do requiring little or no effort,ser algo muy fácil de hacer que no requiere ningún esfuerzo ni habilidad especial,El examen fue pan comido terminé en veinte minutos.,ser algo que se consigue únicamente con mucha práctica y dedicación constante,ser una tarea que parece sencilla pero que esconde dificultades que no se ven a primera vista,ser algo que todo el mundo conoce y da por sentado sin necesidad de explicación
